year,rating,num_votes,title,recent_film,awarded
1914,5.9,68,Salomy Jane,0,0
1914,6.4,18,The Long Arm of the Law,0,0
1914,8.4,40,The Man from Mexico,0,0
1914,7.0,17,A Prince of India,0,0
1914,6.5,35,Behind the Scenes,0,0
1914,6.4,27,What's His Name,0,0
1914,5.1,41,Michael Strogoff,0,0
1914,3.0,18,The House Next Door,0,0
1915,5.6,74,On the Night Stage,0,0
1915,7.0,17,The Lone Star Rush,0,0
1915,8.2,19,The Devil,0,0
1915,4.0,24,Anna Karenina,0,0
1915,5.4,35,The New Exploits of Elaine,0,0
1915,5.8,33,A Man and His Mate,0,0
1915,5.6,20,The Eternal City,0,0
1915,5.5,74,Hearts in Exile,0,0
1915,6.7,24,From the Valley of the Missing,0,0
1915,6.5,271,"Fanchon, the Cricket",0,0
1915,6.4,147,The Captive,0,0
1915,5.1,23,The Diamond from the Sky,0,0
1915,4.7,21,The Carpet from Bagdad,0,0
1915,5.7,26,Rumpelstiltskin,0,0
1915,6.3,25,Betty in Search of a Thrill,0,0
1915,2.0,24,The Lure of the Mask,0,0
1915,7.4,43,Four Feathers,0,0
1915,5.4,18,The Slim Princess,0,0
1915,6.6,33,Who Pays?,0,0
1915,1.0,21,Graustark,0,0
1915,6.7,324,The Governor,0,0
1915,6.8,25,Mistress Nell,0,0
1915,7.2,39,Are You a Mason?,0,0
1915,5.4,69,The Girl of the Golden West,0,0
1915,5.7,997,A Fool There Was,0,1
1915,8.3,25,It's No Laughing Matter,0,0
1915,6.1,584,Alice in Wonderland,0,0
1915,6.5,674,Hypocrites,0,0
1915,5.8,203,Young Romance,0,0
1915,7.8,27,Wildfire,0,0
1915,4.0,24,After Five,0,0
1915,6.6,433,The Italian,0,1
1915,7.9,18,The Island of Regeneration,0,0
1915,6.1,32,A Gilded Fool,0,0
1915,6.2,25665,The Birth of a Nation,0,1
1915,5.3,24,The Warrens of Virginia,0,0
1915,6.6,270,Alias Jimmy Valentine,0,0
1915,5.6,60,David Harum,0,0
1915,6.5,26,Kreutzer Sonata,0,0
1915,4.8,20,A Child of the Prairie,0,0
1915,6.0,32,The Juggernaut,0,0
1915,3.5,28,The Black Box,0,0
1915,5.1,32,The Quest,0,0
1915,5.0,21,The Millionaire Baby,0,0
1915,7.0,27,The Plunderer,0,0
1915,5.3,19,The Explorer,0,0
1915,6.0,124,Trilby,0,0
1915,5.8,21,Playing Dead,0,0
1915,5.5,64,The Lamb,0,0
1915,4.1,23,The Iron Strain,0,0
1915,6.2,49,Tillie's Tomato Surprise,0,0
1915,6.0,317,The Coward,0,0
1915,5.2,32,The New Adventures of J. Rufus Wallingford,0,0
1915,6.7,22,The Dust of Egypt,0,0
1915,5.7,23,Vanity Fair,0,0
1915,7.3,18,A Girl of Yesterday,0,0
1915,2.0,25,The White Pearl,0,0
1915,6.7,19,Via Wireless,0,0
1915,6.5,43,The Disciple,0,0
1915,2.7,31,The Ventures of Marguerite,0,0
1915,6.3,1042,Carmen,0,0
1915,6.2,38,The Whirl of Life,0,0
1915,4.6,41,Carmen,0,0
1915,5.2,87,Madame Butterfly,0,0
1915,6.9,57,The Lily and the Rose,0,0
1915,5.3,118,The Raven,0,0
1915,5.4,15,Pennington's Choice,0,0
1915,6.1,122,Children of Eve,0,0
1915,6.3,44,Old Heidelberg,0,0
1915,5.4,16,Sweet Alyssum,0,0
1915,5.6,61,How Molly Malone Made Good,0,0
1915,6.8,28,Peer Gynt,0,0
1915,6.0,17,An American Gentleman,0,0
1915,4.1,16,The Fixer,0,0
1915,6.1,31,The Darkening Trail,0,0
1915,5.0,19,Unto the Darkness,0,0
1915,7.1,26,The Dawn of a Tomorrow,0,0
1915,6.8,28,The Romance of Elaine,0,0
1915,5.2,51,The Arab,0,0
1915,6.4,22,The Devil's Daughter,0,0
1915,6.2,29,The Broken Coin,0,0
1915,7.7,47,The Dictator,0,0
1915,5.5,89,Ghosts,0,0
1915,6.8,18,The Rug Maker's Daughter,0,0
1915,6.4,32,Kindling,0,0
1915,6.1,38,Scandal,0,0
1915,6.0,32,The Cub,0,0
1915,3.0,32,A Texas Steer,0,0
1915,7.1,57,Rags,0,0
1915,4.0,19,The Battle Cry of Peace,0,0
1915,7.1,41,Vampire,0,0
1915,7.3,29,The Stolen Voice,0,0
1915,5.0,15,Mrs. Plum's Pudding,0,0
1915,5.6,21,The Foundling,0,0
1915,1.6,26,Neal of the Navy,0,0
1915,4.6,25,Mortmain,0,0
1915,8.1,22,The Wolf Man,0,0
1915,5.0,21,The Galloper,0,0
1915,6.8,1369,The Regeneration,0,1
1915,7.5,36,Inspiration,0,0
1915,5.6,199,Martyrs of the Alamo,0,0
1915,6.5,66,A Butterfly on the Wheel,0,0
1915,5.5,25,The Sable Lorcha,0,0
1915,4.2,24,Chimmie Fadden Out West,0,0
1915,5.3,26,Princess Romanoff,0,0
1915,7.9,30,Cap'n Eri,0,0
1915,6.7,26,Passing of the Oklahoma Outlaws,0,0
1915,6.3,25,Georgia Pearce,0,0
1915,5.7,21,Temptation,0,0
1915,6.5,253,The Golden Chance,0,0
1915,7.0,18,Saved from the Harem,0,0
1915,6.1,22,Camille,0,0
1915,7.4,24,Destruction,0,0
1915,4.7,18,The Great Divide,0,0
1915,5.2,22,The Ne'er Do Well,0,0
1915,5.9,397,Civilization,0,1
1915,5.6,45,Don Quixote,0,0
1915,7.6,43,The Immigrant,0,0
1915,5.0,34,Cross Currents,0,0
1915,5.5,28,The Prince and the Pauper,0,0
1915,6.1,21,The Gentleman from Indiana,0,0
1915,6.5,59,Life Without Soul,0,0
1915,8.0,19,Jane,0,0
1915,1.6,22,The White Scar,0,0
1915,2.4,27,The Unknown,0,0
1915,6.5,2679,The Cheat,0,1
1915,5.3,140,Double Trouble,0,0
1916,7.7,16272,Intolerance,0,1
1916,7.4,19,The Patriot,0,0
1916,6.4,527,Gretchen the Greenhorn,0,0
1916,7.4,30,The Kid,0,0
1916,5.1,23,Pillars of Society,0,0
1916,3.6,20,The Rail Rider,0,0
1916,6.5,23,The Crimson Stain Mystery,0,0
1916,5.4,27,A Sister of Six,0,0
1916,3.7,25,Liberty,0,0
1916,6.5,176,The Devil's Needle,0,0
1916,7.2,75,Beatrice Fairfax,0,0
1916,5.5,19,The Vagabond Prince,0,0
1916,8.3,18,The Brand of Cowardice,0,0
1916,3.9,39,The Undertow,0,0
1916,6.0,102,Manhattan Madness,0,0
1916,5.2,19,"Lieutenant Danny, U.S.A.",0,0
1916,5.8,557,The Social Secretary,0,0
1916,6.0,13,The Chalice of Sorrow,0,0
1916,5.4,19,Behind the Lines,0,0
1916,6.8,20,The Isle of Life,0,0
1916,4.8,37,Fifty-Fifty,0,0
1916,6.4,20,Romeo and Juliet,0,0
1916,6.4,55,The Essanay-Chaplin Revue of 1916,0,0
1916,7.3,29,Romeo and Juliet,0,0
1916,6.9,66,A Daughter of the Gods,0,0
1916,6.2,193,The Return of Draw Egan,0,0
1916,5.8,66,Friday the 13th,0,0
1916,6.4,43,The Intrigue,0,0
1916,6.5,32,The Fable of the Kid Who Shifted His Ideals to Golf and Finally Became a Baseball Fan and Took the Only Known Cure,0,0
1916,5.4,39,Idle Wives,0,0
1916,5.0,17,The Evil Women Do,0,0
1916,8.1,19,The Foolish Virgin,0,0
